start	end	text
1296241	1299708	Now on this variation, your shoulders aren't going to stay all the way up.
1299889	1301913	They will tilt forward just a little bit.
1302214	1305541	So at that bottom position, notice that I have a slight angle.
1305941	1307585	I'm not all the way over like this.
1307825	1309589	That'll make it even more hip dominant.
1309930	1311914	But I'm not all the way up like this.
1311974	1313297	I'm somewhere in the middle.
1313277	1319307	Alright, if you master that and you're pain-free, let's move on to the dumbbell stage.
1319568	1322973	Once you start adding some load, we can always go with a weighted vest as well.
1323394	1327020	But I like to go with the dumbbells and I just set them up here.
1327060	1329885	Set up knee above the toe.
1331587	1332669	And then I go from there.
1332849	1334271	It doesn't count as your first rep.
1334992	1337156	That would be your first repetition.
1337276	1340862	Now, most athletes can stay with the dumbbells for a really long time.
1341383	1350197	The only way that we're ever going to ditch the dumbbells is if week after week you get so strong that grip strength becomes a limiting factor.
1350778	1357188	Some of us that will happen, meaning you're no longer really getting a lower body workout because the dumbbells are so heavy.
1357208	1359231	Let's say you're holding 80 pounds in each hand.
1359211	1365723	the grip strength is actually the hardest part, so you can't go up any further because the grip strength is the limiting factor.
1366425	1379329	If you happen to get to that point, which less than 5% of athletes are gonna get there, but if you do, our other option is to, one, add more weight of vest, so I would stay at the 80-pounders, add a weight of vest,
1379309	1381391	Or I can move on to the Smith machine.
1381591	1385475	So if you have access to a Smith machine, it's an unbelievable option here.
1385555	1392641	I don't like a traditional barbell here because getting set up and getting the back leg up with a heavy barbell gets a little bit sketchy.
1392721	1395924	Also, if you lose balance, it's a little bit too dangerous for me.
1395944	1402850	The Smith machine provides the additional support that you need to really just produce force and get strong.
1403130	1406614	We get our balance and stability elsewhere anyways, so we don't need it now.
1407314	1409316	So I'm coming in my Smith machine.
1410308	1415814	And I typically want to think about setting up with the very back of my heel underneath the bar.
1416154	1418937	And for most of you guys, that's going to get you a good position.
1419357	1421880	Start with just the barbell so you can feel it out a little bit.
1421960	1426384	You might need to play around with it a little bit to find what that optimal length is with the bench.
1426404	1427725	You got to feel it out a little bit.
1428226	1433411	So then if I come down, you'll notice that in this position, my knee ends up right above the toes.
1433431	1435253	So that's the position that we want to be in.
1436043	1463653	slight torso lean i'm not completely upright right about here i'm tapping that back knee down to that mat or down to the floor and then exploding back up obviously the weight is going to be pretty heavy so you're trying to move it up fast but you're not going to move it that fast because it's heavy another key point with a rear foot elevated the back leg is a non-working leg you should feel a stretch in the hip flexors
1463633	1468043	but people start to go heavy and they just push down harder on that back leg.
1468203	1474898	You really gotta think of it as a non-working leg, like it's just there for a little bit of additional support, but I don't wanna be pushing down.
1474959	1478948	And if you feel like you are pushing down, then maybe the weight is a little bit too heavy.
1479028	1481794	I want all of the load on that front leg.
1481774	1489022	As always, with any variation, start light, feel it out, master the form, and then session after session, we can start to go up.
1489342	1492586	And this is an exercise that we can get really, really strong on.
1492726	1501756	And it's a beautiful thing because I'm overloading the legs, but I'm not overloading the spine because it's gonna be about half the weight that we would normally be working with a two-leg squat.
1502196	1504098	So the spine gets a little bit less load.
1504439	1506941	The legs actually end up getting more load.
1507222	1511106	So this is an unbelievable exercise for just building that pure strength.
1521464	1523086	So here we have a couple options.
1523146	1528973	If you have the hyperextension machine like this, then we're going to do hyperextension holds with the plate drop.
1529293	1534940	If you do not have this, then we're just going to get two benches or two boxes and we're going to do a reverse plank.
1534960	1536482	We're working the same muscles.
1536782	1538424	So if you don't have this, don't worry.
1538684	1542509	But if you do have the hyperextension machine, I would start light.
1542689	1547775	I would start with maybe a 10 or 25 pound plate at the most.
1547755	1574893	and we're just going to come in and hold in this full extension okay so for hyperextension machine doesn't really mean that we want to go into hyperextension we just want full extension where i'm flat all the way from my head down through the heel okay and contrary to popular belief this isn't really a back exercise this is actually glutes and hamstrings okay so if you're very inexperienced and you have no strength in the post chain and the glute
1574873	1577137	then you can just hold right here.
1578178	1580001	You can just hold for about 30 seconds.
1580262	1583427	That's going to get you a good workout.
1583447	1587914	If you've been training for a while, maybe for a couple of years, then you can do the plate drop.
1587954	1592421	So I'm going to hold right here and I'm just going to drop the plate and catch it at full extension.
1592822	1595707	So it's drop, catch, bring it back up.
1595727	1598451	Drop, catch, bring it back up.
1601873	1608643	So every time that I'm dropping the plate and going to catch it, it gives what's called a perturbation.
1608663	1615133	So it's forcing me down into flexion, but my glutes and my hamstrings are resisting that flexion.
1615613	1621863	So they're resisting that perturbation, and that's what gets the hamstrings and the glutes and the post chain nice and strong.
1621883	1628893	So for this, how you count the reps, every time you drop the plate, catch it, and bring it back up, that counts as one rep.
1628873	1645292	Now, if that's too easy, then yes, you can go up to a 35-pound plate or a 45-pound plate, but for the most part, I would rather see you have just perfect form, stay completely in that full extension, and really just squeeze the boots as hard as you can.
1645592	1653261	We've never had anybody go above a 45-pound plate because if you're doing this the right way, you're going to really feel that burn in the post chain.
1663838	1668485	For this exercise, we have a couple different options and a couple progressions that I want you guys to get through.
1668525	1672531	So first and foremost, we got to make sure that we can do a double leg calf raise.
1672571	1680863	So standard calf raise, you can put your feet up on a bumper plate, feet close together, or you could do this on a step.
1681463	1684648	If you have stairs at home, you can put it on a step and hold on to the sides.
1685089	1687192	Do make sure that you have something to hold on to.
1687212	1689475	I don't want balance to be the limiting factor here.
1689455	1692420	So half your foot is on, half your foot is off.
1692801	1695706	Hold on to something, come down, and come up.
1695887	1702418	Don't force the range of motion, but if you have the range of motion to drop your heels just below the plate, then that's fine.
1702759	1703741	A lot of us don't.
1704101	1708329	A lot of us, when we do drop down here, we might get some Achilles or plantar fascia pain.
1708790	1710693	Work with what you have, all right?
1710713	1712256	So it could look like this.
1712236	1717866	or you could get a little bit of depth a little bit lower and bring the heels down a little bit, okay?
1718247	1719288	Make sure that we got that.
1719549	1720991	Can we do 15 calf raises?
1721052	1722674	For a lot of us, the answer is yes.
1723115	1726441	If the answer is yes and you don't have any pain, then we go to one leg.
1726481	1729266	Now with one leg, we really need additional support.
1729246	1737924	So I like to bring in a bench and use this leg as additional support because if I'm holding on to something now, I have no potential for loading.
1738245	1742514	I want to keep my hands free so that I can grab dumbbells with both sides, all right?
1742534	1746242	So I'm using a bench and I'm using a bumper plate.
1746222	1750108	Same thing, half my foot is on, my heels are off.
1750128	1754915	This leg, I have some pressure, just enough to balance, and then I'm just doing a calf raise here.
1756017	1757519	Don't push up with this leg.
1757579	1759122	This leg is just there for stability.
1759462	1761766	Most of my weight is on this back leg.
1762547	1767775	And again, if I have the range of motion, I can drop my heels down a little bit and get some good range of motion.
1767755	1791028	in sports we definitely do need that range of motion through the calf but again work with what we have don't force anything that you don't currently have now if we can complete the recommended reps so for example let's say the recommended reps for the week is 15 then we move on to the next level that's holding dumbbells so I'm in the same position and now I'm just holding dumbbells to the side and this is the variation that we're gonna stick with for most of this phase
1791008	1794012	Now, do make sure that you're not making this into a soleus calf raise.
1794032	1794913	That would be a bent knee.
1794933	1799899	We do want an extended knee so that we're really working that gastroc muscle, okay?
1800280	1810833	So now most of us, just each session, try to go up five pounds in each hand, gradually overload, and we can get up until the point where we're holding 60s, 70s, 80s.
1810893	1814097	Now, at some point, your grip might become the limiting factor.
1814077	1820324	If we get so heavy that grip becomes a limiting factor, the other option is going to be a Smith machine.
1820704	1828053	Now if you do pass the dumbbell stage and the grip strength does become a limiting factor, which is probably only 10-15% of you that's actually going to make it here.
1828513	1834840	If you do make it here and you don't have a Smith machine, I'd rather you not do this with a barbell because you're just going to be too unstable.
1835101	1837363	The other option would be a leg press.
1837383	1843510	You can do a regular straight leg calf raise, single leg calf raise on a leg press because you have loading potential there.
1843490	1850162	But if you do have access to a Smith machine where it locks in, that's going to be our best option because it provides the stability for us.
1850183	1854210	So now we can really just focus on tissue tolerance and strength of that calf.
1854230	1856334	You guys know that we get our stability elsewhere.
1856374	1857997	We get our balance training elsewhere.
1858057	1861363	We do a much better job than just a unsupported calf raise.
1861404	1866493	So when we're doing calf raises, we want some extra support so we can just focus on that strength.
1867925	1869608	So same thing, heel hanging off.
1869728	1871632	I got the bumper plate right underneath.
1871832	1875719	So the back part of the bumper plate should be directly underneath the Smith machine.
1876019	1880888	And then I can just lift this leg up just a little bit, not up 90 degrees, just a little bit here.
1881409	1885356	And then I can work with my range of motion and just come up, all right?
1885376	1887139	I'm not exploding too fast.
1887540	1891587	It's gonna be about half a second to one second up and about a second down.
1891567	1894652	Now, you might have a natural bend in the knee just a little bit.
1894832	1895974	That's okay.
1896034	1902585	You definitely don't want a hyperextended knee, but you also don't want a deep knee bend because that's going to make it into more of a soleus raise.
1902885	1908394	We're really trying to work that gastroc, so do make sure you keep a relatively straight knee with just a slight bend.
1908374	1911078	Now, with this exercise, you don't run out of loading potential.
1911459	1930230	Obviously, just start with the barbell, feel it out, and then you can start to go up 10 pounds on each side, 20 pounds on each side, and you can just keep going as long as your mechanics look really good and as long as you're feeling good and you're not feeling any joint pain, Achilles pain, plantar fascia pain, then we can continue to load throughout the program on this exercise.
1952789	1956814	For our 7-11 breathing, what we're going to do is just lay down on our back.
1956934	1958736	Make sure that you're in a relaxed place.
1958776	1961479	I know you're probably in a gym, so it might be a little bit loud.
1961520	1968528	If you have headphones, throw on some headphones, throw on some slow music, maybe some yoga or meditation type music.
1968548	1974515	And all I'm going to do is just lay down and I'm going to breathe in through my nose for seven seconds.
1974775	1978560	And I'm also going to breathe out through my nose for 11 seconds.
1978540	1982407	So, I'm not going to open my mouth for this whole drill.
1982848	1986694	So, it's in through the nose and I want to make sure that my stomach is rising.
1987255	1994608	Your chest will naturally rise a little bit but most of you when you think of deep breathing, what happens is your belly stays still.
1995601	2022013	your chest puffs up and your shoulders elevate that means we are not actually getting all of that air all of that oxygen down to the deepest part of the lungs so i want you to think about letting the belly rise as you take that breath in okay so we're here in deep through the nose let the stomach rise seven seconds once you finish that seven seconds it's out through the nose
2024947	2026869	and that stomach will fall, okay?
2027590	2030233	Initially, this is very uncomfortable for guys.
2030974	2040005	I've had NBA players that absolutely hated this until they're in their third or fourth session and they started to get used to it because you do have to learn how to pace your breaths.
2040786	2048556	If you just breathe in as hard as you can and breathe out as hard as you can, you're not gonna be able to go for seven in and 11 out.
2048796	2052861	You gotta learn to go very slow and pace that breath, okay?
2052841	2081717	this is doing a lot of stuff I mean for one we're helping you expand the lungs we're teaching you how to to breathe yourself into a more calmer state but from a recovery standpoint this could possibly be the best thing that you can do after a workout better than foam rolling better than static stretching because after a workout we're in that sympathetic state that's that fight that's that workout that's that game mode okay I got to get you to the parasympathetic state that's relax recover all recovery
2081967	2084471	happens in the parasympathetic state.
2085012	2089160	Okay, so if I'm still hyped up after the workout, I'm killing my recovery.
2089500	2103064	So as soon as we're done with the workout, we wanna do these breathing exercises to get us into that parasympathetic state, and then I can really start to aid my recovery, and I'm back better than ever tomorrow, ready to train again.
2104968	2108273	So the first one for our static stretch is just going to be a basic quad stretch.
2108293	2112579	So I'm just going to go heel to hip and I'm just going to get up nice and tall.
2112859	2119669	I'm going to raise my opposite hand and I'm just going to hold for 15 seconds and then I'm going to switch over to the other side.
2119969	2123454	If you need to hold on to something for balance, that's OK.
2123734	2131245	We're not going to get the same arm raise, but you can hold on and just make sure that we're nice and tall and that heel is touching the hip the whole time.
2131225	2135577	For the elevated hamstring stretch, I'm just gonna use a bench, a box, a chair.
2135998	2137983	I'm just gonna get my heel on there.
2138003	2140510	That toe is pointed up towards the ceiling.
2140790	2142856	And then I'm just gonna hinge from the hips.
2143137	2145363	So I don't wanna lean forward and round my back.
2145643	2147428	I'm just gonna lean forward.
